Материал, Количество, Цена за еденицу, Сумма, USD
Консультации,2-5 штук,200тыс за одну,1000000,67
Снос старого дома,4 человека, 2 млн за снос, 2000000,134
Вывезти мусор, 4 машины,от 1 млн за машину,4000000,267
Распилить бревна,2 человека по 16 часов,50тыс за час,1600000,107
Аренда бензопилы, 16 часов,8 часов 250 тыс,500000,33
Доставка бензопилы, 65 км в обе стороны,5 тыс за км,1200000,80
Топливо и масло для бензопилы,6 литров + 2 масла,,300000,20
Разработка архитектуры,эскизный проект, 4 млн,4000000,267
Часть чертежей,,,1500000,100
Проезд и связь,,,600000,40
Организационные расходы,,,5500000,367
Общий минимальный расход на май,,,22 200 000,1480
