Материал, Количество, Цена за еденицу, Сумма
Консультации,2-5 штук,200тыс за одну,1000000
Снос старого дома,4 человека, 2 млн за снос, 2000000
Вывезти мусор, 4 машины,от 1 млн за машину,4000000
Распилить бревна,2 человека по 16 часов,50тыс за час,1600000
Аренда бензопилы, 16 часов,8 часов 250 тыс,500000
Доставка бензопилы, 65 км в обе стороны,5 тыс за км,1200000
Топливо и масло для бензопилы,6 литров + 2 масла,,300000
Разработка архитектуры,эскизный проект, 4 млн,4000000
Часть чертежей,,,1500000
Проезд и связь,,,600000
Организационные расходы,,,5500000
Общий минимальный расход на май,,,22 200 000
