Материал, Количество, Цена за еденицу, Сумма
Цемент,25 мешков по 25 кг,40тыс за мешок,1000000,67
Арматура,140 метров 10мм + резка,от 6500 за метр,1200000,80
Заливка бетона,Заливка+вязка арматуры+ уровень 21 столб по 2метра,от 130 тыс за столб,2800000,187
Мотобур,прокат с работой на 21 лунку,от 80 тыс лунка,1700000,113
Руберойд,пять рулонов,100тыс за рулон,500000,33
Бетономешалка,Аренда + электричество,200тыс в день,400000,27
Разметка фундамента,выезд на место,700 тыс,700000,47
Песок ПГС,машина песка,800 тыс,800000,53
Доставка материалов,65км три рейса,5тыс за км один рейс-0.7млн,2100000,140
Доставка мотобура,65км три рейса,5тыс за км один рейс-0.7млн,700000,47
Доставка бетономешалки,65км три рейса,5тыс за км один рейс-0.7млн,700000,47
Проезд и связь,,,800000,53
Часть чертежей,,,1500000,100
Организационные расходы,,,5500000,367
Общий минимальный расход на июнь,,,20 400 000,1360
