Материал, Количество, Цена за еденицу, Сумма, USD
Чертежи каркаса вторая часть, деталировка,,1350000,75
Чертежи на кровлю,,,1800000,100
Организационные расходы за август,,,6300000,350
Работы по монтажу бруса и балок, 2 чел по 16 часов, 70 тыс час,2240000,125
Шурупы шестигранные и расходники,,,990000,55
Доска для каркаса,50*150мм 140+30+35+160=366м или 2.8 м3,2.2 млн за куб,61600000,342
Уголки для крепления,140шт, 10 тыс штука, 1400000,78
Шурупы и болты,,,1500000,84
Резка доски под углом и маркировка,212шт,,2700000,150
Доставка доски для каркаса 3т,один рейс 100км,,1100000,61
Монтаж каркаса,40 часов два человека,70тыс за час,5600000,311
Плита ОСБ-12мм,110 м2,63тыс за м2,6930000,385
Бруски для вентиляции 50*50мм,80 метров,10 тыс метр,800000,45
Паропроницаемая пленка,120 м2, 4 рулона по 500тыс,2000000,111
Резка ОСБ на треугольники, 40тыс за треугольник, 90шт, 3600000,200
Доставка треугольников и брусков 2т,один рейс 100км,,630000,35
Шурупы для каркаса,,,1800000,100
Проезд и связь,,,800000,51
Организационные расходы,,,5600000,350
Общий минимальный расход на сентябрь,,,54144000,3008
Курс USD на сентябрь,,,,18000
