группа,п/п,задача,кол-во,ед. изм.,План+15%, $
2 Электрошкаф/серверная,2.6,Разделы проекта электросетей,1,шт,139
3 Электричество,3.2,установить светильники,13,шт,484
3 Электричество,3.3,установить розетки,19,шт,251
5 Второй этаж,5.9,сделать постоянную лестницу,14,ст,239
5 Второй этаж,5.10,покрыть лестницу пропиткой,8,м2,51
5 Второй этаж,5.11,шлифовка лестницы,8,м2,45
5 Второй этаж,5.12,сделать перила для лестницы,4,м,441
8 Кровля на веранде,8.1,закрепить верхний слой кровли,35,м2,767
9 Кровля на веранде,8.2,смонтировать водоотливы сверху веранды,14,м,268
10 Кровля на веранде,8.3,смонтировать водоотливы снизу веранды,14,м,121
9 Кровля дома,9.1,закрепить верхний слой кровли,70,м2,1535
9 Кровля дома,9.2,смонтировать водоотливы вверху дома,21,м,431
9 Кровля дома,9.3,смонтировать водоотливы внизу дома,21,м,182
9 Кровля дома,9.5,Сделать отмостку вокруг дома и веранды,35,м2,917
10 Купол дома,10.4,покрыть доску белой пропиткой,55,м2,277
12 Благоустройство,12.1,закрыть сваи черными брусками,400,м,469
Итого общее:,, ,,,6625
