‡адача,"срок, 
дней","итого-план, $","расходы-факт, $"
распилить дрова,"2,1","145,6704",81
загрузить и сложить дрова,"0,9375","58,752",42
вынести и занести мебель (дом 24),0,0,0
демонтаж пола (дом 24),0,0,0
монтаж лаг пола (дом 24),0,0,0
укладка пола (дом 24),0,0,0
другие работы,"3,0375","204,4224",123
демонтировать старый забор,"1,5","75,456",0
установить столбы,"3,3","465,696",0
установить пролеты забора,"1,5",576,0
установить калитку,"0,3","148,464",0
итого: забор (евроограждение),"5,1","1190,16",0
сделать откосы на окнах,"2,625",216,0
установить подоконники,"0,75","105,84",0
монтаж окон,3,"838,08",0
итого: окна (дачные),"6,375","1159,92",0
смонтировать лестницу крыльца,0,0,0
смонтировать каркас крыльца,0,0,0
подшить пол крыльца,0,0,0
уложить чистовой пол крыльца,0,0,0
смонтировать крышу крыльца,0,0,0
обшить стены и потолок вагонкой,0,0,0
уложить кровлю крыльца,0,0,0
итого: крыльцо (открытое),0,0,0
выкопать траншею длЯ кабелЯ,"2,625","135,216",0
проложить кабель от счетчика к дому,"0,825","85,536",0
проложить гофру в доме,0,0,0
проложить кабель в доме ,0,0,0
установить розетки и выключатели,0,0,0
установить светильники,0,0,0
устоновить электрощиток,"0,625","107,28",0
подключить автоматы,"2,025","195,048",0
итого: електричество,"6,1","387,864",0
обвЯзать скважину,"1,3125","146,88",0
обрезать трубу,"0,5","36,72",0
установить насос,0,0,0
установить бак,0,0,0
установить автоматику скважины,0,0,0
проложить трубу в дом,0,0,0
проложить трубопровод в доме,0,0,0
установить раковину,"0,625",108,0
установить бойлер,0,0,0
установить септик (два кольца),"3,125","298,8",0
итого: водопровод,"5,5625","590,4",0
закрепить верхний слой кровли,0,0,0
закрепить свесы кровли,0,0,0
смонтировать водосточный желоб,0,0,0
смонтировать водосточные трубы,0,0,0
итого: кровлЯ дома,0,0,0
смонтировать каркас второго этажа,"2,625","220,752",0
смонтировать мембрану (крафт бумага),"0,375","23,616",0
уложить стружку на второй этаж,"0,375","29,16",0
уложить сухой песок на второй этаж,"0,1125","40,824",0
подшить потолок вагонкой,"3,25","197,28",0
уложить чистовой пол  второго этажа,"2,25","214,56",0
каркас ограждение второго этажа,"0,75","46,44",0
смонтировать лестницу второго этажа,"1,925","158,4",0
итого: второй этаж,"11,6625","931,032",0
унитаз (биотуалет),"0,625","187,2",0
умывальник,"0,75","177,12",0
утеплить стены санузла (минвата),0,0,0
душевой уголок,"1,25","357,12",0
установить дверь,"1,25","184,32",0
итого: санузел,"3,25","718,56",0
смонтировать утеплитель (стружка+вермулит),0,0,0
смонтировать мембрану пола первого этажа,0,0,0
смонтировать чистовой пол первого этажа,0,0,0
смонтировать подшивку из фанеры (OSB),0,0,0
зашить подпольное простанство дома,0,0,0
итого: первый этаж,0,0,0
смонтировать столбы фундамента,3,"257,04",0
смонтировать лаги пола,"3,25","458,64",0
уложить пол веранды,6,"514,08",0
пропитка пола веранды и стен,"1,775","115,5312",0
смонтировать каркас веранды,6,"656,64",0
каркас ограждение веранды,0,0,0
смонтировать крышу веранды,"2,6","325,728",0
обшить стены и потолок вагонкой,0,0,0
зашить подпольное простанство,0,0,0
смонтировать лестницу веранды,"0,9","60,48",0
уложить кровлю веранды,"3,9","591,552",0
итого: веранда,"27,425","2979,6912",0
смонтировать холофайбер в куполе,0,0,0
смонтировать внутренюю мембрану в куполе,0,0,0
смонтировать обрешотку в куполе,0,0,0
обшить гипсокартоном,0,0,0
прогрунтовать гипсокартон,0,0,0
покрыть гипсокартон белой краской,0,0,0
нанести пропитку на обрешетку,0,0,0
итого: купол,0,0,0
смонтировать бумажный утеплитель в стены,0,0,0
смонтировать мембрану на стены,0,0,0
обшить вагонкой стены,0,0,0
итого: стены,0,0,0
тепловой расчет,0,0,0
установка кандиционера,0,0,0
итого: кандиционер,0,0,0
смонтировать столбы фундамента,0,0,0
смонтировать лаги пола,0,0,0
уложить пол терассы,0,0,0
пропитка пол терассы,0,0,0
смонтировать лестницу терассы,0,0,0
итого: терасса,0,0,0
уложить дорожки,0,0,0
перевести гараж,0,0,0
смонтировать фундамент под гараж,0,0,0
выровнЯть уровень грунт на участке,0,0,0
сделать отмостку вокруг дома,0,0,0
завести плодородный грунт,0,0,0
итого: благоустройство,0,0,0
итого общее:,"68,5125","8162,0496",123
