группа,задача,кол-во,ед. изм.,"план, $","готовность, %"
Окна (евро-дерево),установить подоконник,1,шт,37,1%
Электричество,устоновить электрощиток,1,шт,104,1%
Электричество,подключить автоматы,9,шт,188,1%
Водопровод,установить раковину,1,шт,111,1%
Второй этаж,смонтировать каркас второго этажа,46,м,81,80%
Второй этаж,каркас ограждение второго этажа,15,м,53,1%
Второй этаж,смонтировать лестницу второго этажа,11,ст,159,1%
Санузел,унитаз (биотуалет),1,шт,188,1%
Санузел,умывальник,1,шт,179,1%
Санузел,установить дверь,1,шт,192,1%
Веранда,смонтировать лаги пола,65,м,145,70%
Веранда,уложить пол веранды,30,м2,521,1%
Веранда,смонтировать каркас веранды,150,м,929,30%
Веранда,ограждение веранды,52,м,184,1%
Веранда,смонтировать крышу веранды,26,м2,343,1%
Веранда,смонтировать лестницу веранды,3,ст,41,60%
Благоустройство,уложить дорожки,20,м2,224,30%
Благоустройство,выровнять уровень грунта на участке,50,м3,186,70%
Итого общее:, ,0,0,3865,
