группа,задача,кол-во,ед. изм.,"план, $"
Окна санузел,сделать откосы,1,шт,44
Окна санузел,установить подоконник,1,шт,58
Окна санузел,монтаж окна,1,шт,312
Водопровод,установить раковину на кухне,1,шт,124
Водопровод,установить смеситель на кухне,1,шт,71
Второй этаж,смонтировать мембрану,10,м2,25
Второй этаж,уложить стружку на второй этаж,2,м3,67
Второй этаж,уложить песок на второй этаж,1,м3,23
Второй этаж,сделать обрешетку потолка,10,м2,136
Второй этаж,уложить пол  второго этажа,10,м2,276
Второй этаж,сделать постоянную лестницу,14,ст,173
Второй этаж,сделать перила для лестницы,2,шт,204
Санузел,установить бойлер,1,шт,438
Санузел,душевой уголок,1,шт,522
Первый этаж,уложить стружку,6,м3,230
Первый этаж,смонтировать мембрану пола первого этажа,30,м2,74
Первый этаж,смонтировать чистовой пол первого этажа,30,м2,828
Первый этаж,смонтировать подшивку из фанеры,30,м2,295
Купол дома,смонтировать утеплитель в куполе,9,м3,1280
Внутренние стены дома,смонтировать утеплитель в стены,9,м3,1280
Итого общее:, ,,,6460
