группа,задача,кол-во,ед. изм.,"План+15%, $"
Санузел,переустановить раковину,1,шт,57
Электричество,установка серверного шкафа,1,шт,351
Электричество,заливка основания под серверный шкаф,"0,3",м3,26
Электричество,подключить автоматы,6,шт,125
Электричество,умное освещение,3,шт,263
Электричество,кабель для розеток/света/отопления,90,м,168
Электричество,установить светильники,0,шт,0
Электричество,установить розетки,19,шт,252
Электричество,переустановить электроящик,1,шт,113
Водопровод,утеплить и звукоизолировать скважину,9,м2,329
Водопровод,Закрепить трубы водопровода,15,м,155
Водопровод,утеплить трубы,30,м,476
Водопровод,установить быстросъем и слив для насоса,2,шт,102
Второй этаж,установить вытяжку в доме,1,шт,95
Второй этаж,смонтировать мембрану,10,м2,63
Второй этаж,уложить стружку и песок на второй этаж,2,м3,87
Второй этаж,уложить пол  второго этажа,12,м2,381
Второй этаж,прогрунтовать фанеру,0,м2,0
Второй этаж,покрыть фанеру белой краской,0,м2,0
Второй этаж,закрепить доску и обрешетку потолка,12,м2,467
Второй этаж,шлифовка каркаса ,15,м2,85
Второй этаж,нанести пропитку на каркас,12,м2,77
Второй этаж,сделать постоянную лестницу,14,ст,240
Второй этаж,покрыть лестницу пропиткой,8,м2,51
Второй этаж,шлифовка лестницы,8,м2,45
Второй этаж,сделать перила для лестницы,4,м,442
Веранда,пропитка пола и каркаса веранды ,50,м2,252
Веранда,шлифовка пола и каркаса веранды ,50,м2,214
Окна,установить рольставни,0,шт,0
Санузел,установить бойлер,1,шт,504
Санузел,душевой уголок,1,шт,600
Кровля веранда,закрепить верхний слой кровли,0,м2,0
Кровля веранда,смонтировать водоотливы верх верады,0,м,0
Кровля веранда,смонтировать водоотливы низ верады,0,м,0
Кровля дома,закрепить верхний слой кровли,0,м2,0
Кровля дома,смонтировать водоотливы верх дома,0,м,0
Кровля дома,смонтировать водоотливы низ дома,0,м,0
Кровля дома,переделать верхушку,0,м,0
Кровля дома,Сделать отмостку вокруг дома,13,м2,341
Купол дома,смонтировать утеплитель в куполе,11,м3,1715
Купол дома,смонтировать обрешотку в куполе,0,м,0
Купол дома,обшить фанерой,55,м2,1032
Купол дома,прогрунтовать фанеру,0,м2,0
Купол дома,покрыть фанеру белой пропиткой,55,м2,277
Купол дома,нанести пропитку на обрешетку,0,м2,0
Внутренние стены дома,смонтировать утеплитель в стены,11,м3,1564
Внутренние стены дома,обшить вагонкой (доской) стены,0,м2,0
Первый этаж,закрыть подпольное простанство тканью,0,м2,0
Санузел,утеплить стены и крышу санузла,0,м3,0
Санузел,смонтировать пароизоляцию,0,м2,0
Санузел,Обшить стены вагонкой (фанерой или доской),0,м3,0
Итого общее:, ,0,0,10948
