группа,п/п,задача,кол-во,ед. изм.,"План+15%, $"
1 Санузел,1.1,переустановить раковину,1,шт,57
2 Электрошкаф/серверная,2.1,Установка климатического шкафа,1,шт,1277
2 Электрошкаф/серверная,2.2,Заливка основания под климатический шкаф,"0,3",м3,26
2 Электрошкаф/серверная,2.3,Подключение автоматов и контакторов,30,шт,389
2 Электрошкаф/серверная,2.4,Монтаж силовых радиоблоков,8,шт,298
2 Электрошкаф/серверная,2.5,Демонтаж электроящика,1,шт,28
2 Электрошкаф/серверная,2.6,Разделы проекта электро и LAN сетей,3,шт,356
2 Электрошкаф/серверная,2.7,Монтаж коммутатор с РоЕ,1,шт,98
2 Электрошкаф/серверная,2.8,Монтаж LAN-проводов,40,м,75
2 Электрошкаф/серверная,2.9,Монтаж IP видеокамер с PoE,6,шт,497
3 Электричество,3.1,кабель для розеток/света/отопления,115,м,302
3 Электричество,3.3,установить розетки,19,шт,252
4 Водопровод,4.4,установить быстросъем и слив для насоса,2,шт,102
5 Второй этаж,5.1,установить вытяжку на верху дома,1,шт,455
9 Кровля дома,9.4,доделать верхушку,10,м,186
9 Кровля дома,9.5,Сделать отмостку вокруг дома и веранды,35,м2,918
10 Купол дома,10.1,смонтировать утеплитель в куполе,11,м3,1715
10 Купол дома,10.3,обшить фанерой,55,м2,1032
11 Внутренние стены дома,11.1,смонтировать утеплитель в стены,11,м3,1564
Итого общее:,0, ,0,0,9627
