группа,задача,кол-во,ед. изм.,"план+20%, $"
Второй этаж,установить вентилятор,1,шт,"42,8"
Второй этаж,смонтировать мембрану,10,м2,"62,8"
Второй этаж,уложить стружку и песок на второй этаж,2,м3,"86,9"
Второй этаж,уложить пол  второго этажа,12,м2,"380,9"
Второй этаж,прогрунтовать фанеру,12,м2,"93,6"
Второй этаж,покрыть фанеру белой краской,12,м2,"93,6"
Второй этаж,закрепить фанеру и обрешетку потолка,12,м2,"226,9"
Второй этаж,шлифовка каркаса ,15,м2,"84,9"
Второй этаж,нанести пропитку на каркас (коричневая),12,м2,"77,0"
Второй этаж,сделать постоянную лестницу,14,ст,"239,6"
Второй этаж,покрыть лестницу пропиткой (коричневая),8,м2,"51,3"
Второй этаж,шлифовка лестницы,8,м2,"45,3"
Второй этаж,сделать перила для лестницы,4,м,"441,6"
Веранда,пропитка пола и каркаса веранды ,50,м2,"251,9"
Веранда,шлифовка пола и каркаса веранды ,50,м2,"213,9"
Итого общее:, ,,,"2392,8"
