группа,задача,кол-во,ед. изм.,"план+20%, $"
Электричество,установить светильники,10,шт,226
Окна санузел,сделать откосы,1,шт,51
Окна санузел,установить подоконник,1,шт,67
Окна санузел,монтаж окна,1,шт,359
Кровля дома,закрепить верхний слой кровли дома,70,м2,2167
Кровля дома,изготовить отливы,14,м2,274
Кровля дома,закрепить отливы на доме,21,м,187
Кровля веранды,закрепить верхний слой кровли веранды,35,м2,1033
Кровля веранды,изготовить отливы,10,м,196
Кровля веранды,закрепить отливы на веранде,15,м,134
Первый этаж,уложить стружку и вермулит,6,м3,447
Первый этаж,смонтировать мембрану пола первого этажа,30,м2,85
Первый этаж,смонтировать пленку на пол первого этажа,30,м2,85
Первый этаж,смонтировать подшивку из фанеры,30,м2,339
Купол дома,установить активную вентиляцию,60,м2,177
Благоустройство,сделать отмостку вокруг дома,23,м2,315
Умный дом,установить датчики температуры и влаги,3,шт,240
Отопление,установка кандиционера,1,шт,1066
Итого общее:, ,,,7449
