группа,задача,кол-во,ед. изм.,"расходы, $","готовность, %"
Другие работы,распилить дрова,12,м3,81,100%
Другие работы,разгрузить и сложить дрова,15,м3,42,100%
Забор (евроограждение),демонтировать старый забор,20,м,30,100%
Окна (дачные),сделать проемы для окон,3,шт,90,70%
Электричество,выкопать траншею для кабеля,3,м3,70,80%
Электричество,проложить электро кабель от счетчика к дому,40,м,62,100%
Электричество,проложить сетевой х3 кабель от счетчика к дому,40,м,62,100%
Водопровод,обвязать скважину,"1,5",м3,25,35%
Водопровод,обрезать трубу,1,шт,20,100%
Второй этаж,смонтировать каркас второго этажа,46,м,90,50%
Благоустройство,покос старых деревьев,25,шт,25,100%
Инструмент,насос рубанок бензопила лобзик шуруповерт,25,шт,20,100%
Инструмент,бензин для пилы,25,шт,5,100%
Орг расходы,за март месяц,25,шт,120,100%
Итого общее:, ,,,742,
