группа,задача,кол-во,ед. изм.,"расходы, $","готовность, %"
Другие работы,распилить дрова,12,м3,81,100%
Другие работы,разгрузить и сложить дрова,15,м3,42,100%
Забор (евроограждение),демонтировать старый забор,20,м,30,100%
Забор (евроограждение),установить столбы,15,шт,368,100%
Забор (евроограждение),установить пролеты забора,14,шт,296,100%
Забор (евроограждение),установить калитку,1,шт,216,100%
Окна (евро-дерево),сделать проемы для окон,3,шт,90,100%
Окна (евро-дерево),сделать откосы на окнах,3,шт,157,100%
Окна (евро-дерево),монтаж окон,3,шт,800,100%
Электричество,выкопать траншею для кабеля,3,м3,70,100%
Электричество,проложить электро кабель от счетчика к дому,40,м,62,100%
Электричество,проложить сетевой х3 кабель от счетчика к дому,40,м,62,100%
Водопровод,обвязать скважину,"1,5",м3,63,100%
Водопровод,обрезать трубу,1,шт,20,100%
Водопровод,установить септик (два кольца),"2,5",м3,282,100%
Второй этаж,создать чертежи второго этажа,20,м,50,100%
Второй этаж,смонтировать каркас второго этажа,46,м,142,80%
Веранда,создать 3д модель веранды с чертежами,60,м2,150,100%
Веранда,смонтировать столбы фундамента,15,шт,297,100%
Веранда,смонтировать лаги пола,65,м,216,70%
Веранда,смонтировать каркас веранды,150,м,383,30%
Веранда,смонтировать лестницу веранды,3,ст,52,60%
Благоустройство,Сжигание мусора,6,м3,15,100%
Благоустройство,уложить дорожки,20,м2,19,30%
Благоустройство,выровнять уровень грунта на участке,50,м3,207,70%
Благоустройство,покос старых деревьев,25,шт,25,100%
Инструмент,насос рубанок бензопила лобзик шуруповерт,0,0,20,100%
Инструмент,бензин для пилы,0,0,5,100%
Инструмент,для второго этажа,0,0,30,100%
Инструмент,для веранды,0,0,17,100%
Инструмент,пилки и струбцыны,0,0,30,100%
Инструмент,покупка лобзика болгарки рубанка,0,0,175,100%
Инструмент,прокат нивелира,0,0,10,100%
Инструмент,прокат шуруповерта,0,0,15,100%
Инструмент,доставка инструмента,0,0,20,100%
Инструмент,ремонт 2х цепных электропил,0,0,82,100%
Инструмент,ремонт дрели,0,0,10,100%
Инструмент,масло и миксер,0,0,7,100%
Орг расходы,за март месяц,0,0,120,100%
Орг расходы,за апрель месяц (минус долг 200),0,0,150,100%
Итого общее:, ,0,0,4916,57%
