Месяц,Число,группа,задача,"расход, $"
5,7,Маркетинг,Логотип,7
5,8,Связь,Мобильный,7
5,8,Транспорт, Экскурсии,7
5,8,Маркетинг, Экскурсии,14
5,9,Маркетинг, Экскурсии,14
5,10,Маркетинг, Экскурсии,14
5,13,Транспорт, Экскурсии,7
5,15,Организационные,Содержание,396
5,17,Связь,Мобильный,14
5,18,Транспорт, Экскурсии,14
5,18,Чертежи,Solid,57
5,19,Транспорт, Экскурсии,14
5,19,Маркетинг, Экскурсии,14
5,20,Связь,Мобильный,7
5,20,Коммуникации, Установка электричества,149
5,23,Связь,Мобильный,14
5,23,Транспорт,Минск-Ялча,3
5,24,Транспорт,Ялча-Минск,3
5,25,Снос, Разборка сруба_часть1,140
5,26,Снос, Разборка сруба_часть2,21
5,26,Снос, Вывоз мусора,278
5,28,Чертежи,Архитектура_часть1,70
5,29,Чертежи,Архитектура_часть2,69
5,29,Снос, Разборка сруба_часть3,34
6,1,Связь,Мобильный,17
6,2,Связь, Интернет,8
6,3,Снос, Разборка сруба_часть4,7
6,3,Транспорт,Минск-Ялча,3
6,3,Снос, Разборка сруба_часть5,34
6,3,Маркетинг,Визитки,40
6,8,Инструмент,деталь для бензопилы,7
6,10,Транспорт,Ялча-Минск,6
6,12,Чертежи,Конструкция часть1,46
6,13,Снос, Разборка сруба_часть6,39
6,15,Транспорт,Ялча-Минск,1
6,15,Транспорт,Минск-Ялча,2
6,15,Организационные,Содержание,365
6,15,Инструмент, Замок для гаража,4
6,22,Транспорт, Проездной,13
6,26,Фундамент, Цемент,66
6,26,Фундамент, Арматура,2
6,26,Фундамент, Руберойд,35
6,26,Доставка,Материалы на фундамент,39
6,26,Фундамент, Арматура,60
6,28,Связь,Интернет,8
6,28,Транспорт,Минск-Ялча,2
6,29,Транспорт,Ялча-Минск,2
7,1,Фундамент, Лента скотч,8
7,1,Связь, Мобильный,14
7,1,Транспорт,Минск-Ялча,2
7,1,Фундамент, Арматура,4
7,1,Фундамент, Вязальная проволока,4
7,2,Транспорт,Ялча-Минск,2
7,13,Транспорт,Минск-Ялча,2
7,14,Транспорт,Ялча-Минск,2
7,15,Организационные,Содержание,365
7,20,Каркас,коннекторы_часть1,102
7,21,Транспорт,Минск-Ялча,2
7,21,Транспорт,Ялча-Минск,2
7,21,Каркас, Заклепки для коннекторов,20
7,22,Транспорт, Проездной,11
7,29,Связь, Интернет,5
8,1,Транспорт,Минск-Ялча,2
8,1,Фундамент, Разметка фундамента,33
8,2,Фундамент, Песок 2 машины,66
8,2,Транспорт,Ялча-Минск,2
8,3,Доставка,Коннекторы и материалы на фундамент,20
8,3,Инструмент, Аренда инструмента,41
8,5,Доставка, Бензин,13
8,11,Транспорт, Проездной,12
8,11,Каркас, Коннекторы,247
8,12,Чертежи,конструктив часть2,98
8,12,Инструмент, Сверло для свай,8
8,12,Фундамент, Бурение и заливка свай,158
8,12,Фундамент, Анкера 20 штук,19
8,17,Связь, Интернет,6
8,17,Связь, Мобильный,13
8,18,Транспорт,Минск-Ялча,2
8,18,Транспорт,Ялча-Минск,2
8,21,Каркас, Крепление для бруса + инструмент,107
8,21,Каркас, Изготовление креплений и пластин,165
8,21,Фундамент, хомут стальной,2
8,21,Доставка, Бензин,18
8,21,Каркас, Шурупы шестигранные+пропитка,47
8,22,Транспорт,Ялча-Минск,1
8,24,Транспорт, Проездной,12
8,25,Доставка, и разгрузка бруса,69
8,25,Каркас, Брус 3 куба,402
8,26,Чертежи, каркас первая часть,73
8,28,Транспорт,Минск-Ялча,2
8,29,Каркас, Распиловка бруса,23
8,30,Транспорт,Ялча-Минск,2
9,1,Чертежи, Каркас вторая часть,77
9,2,Инструмент,Насадка,1
9,2,Каркас, Шурупы+болты,124
9,2,Связь, Мобильный,14
9,2,Каркас, Шурупы,16
9,2,Каркас, Крепления+шурупы,29
9,3,Доставка, Бензин,6
9,3,Инструмент, Аренда бензопилы,11
9,5,Каркас, Монтаж бруса и балок,79
9,8,Инструмент, Цепь для пилы,10
9,8,Транспорт, Проездной,11
9,8,Инструмент, Сверло и трещетка,15
9,8,Инструмент, Патрон,22
9,8,Доставка, Доска 150мм на распиловку,22
9,8,Каркас, Доска 150мм,356
9,8,Каркас, Шурупы,5
